date,disease,H_mean_x,T60_min_x,H_min_x,T20_max_x,ST_max_x,T60_max_x,H_max_x
2016-07-23,0,71.91743119266054,23.2,45.0,34.5,31.0,36.5,96.0
2016-07-24,0,68.77064220183486,22.6,48.0,33.1,28.8,34.7,90.0
2016-07-25,0,70.75229357798165,21.5,43.0,35.8,30.7,39.6,100.0
2016-07-26,0,70.41284403669725,21.6,41.0,36.0,30.8,39.6,100.0
2016-07-27,0,94.77981651376149,22.3,84.0,26.7,25.5,26.3,100.0
2016-07-28,0,85.39449541284405,22.2,53.0,36.1,28.8,37.1,100.0
2016-07-29,0,81.13761467889908,23.7,55.0,38.3,29.4,37.7,99.0
2016-07-30,0,80.89908256880734,22.3,51.0,38.3,33.2,36.8,100.0
2016-07-31,0,78.30275229357798,21.8,53.0,36.8,29.3,35.0,100.0
2016-08-01,0,77.31192660550458,22.4,53.0,35.9,29.4,35.4,100.0
2016-08-02,0,82.3302752293578,23.7,56.0,37.6,30.0,35.4,100.0
2016-08-03,0,84.94495412844037,24.0,65.0,37.0,29.4,34.0,100.0
2016-08-04,0,84.57798165137615,24.4,64.0,39.3,29.2,34.6,100.0
2016-08-05,0,79.8440366972477,24.0,59.0,38.9,30.5,35.3,100.0
2016-08-06,0,80.29357798165137,24.4,61.0,38.0,30.0,35.4,100.0
2016-08-07,0,80.74311926605505,24.5,62.0,39.2,29.9,35.9,100.0
2016-08-08,0,83.36697247706422,24.7,61.0,39.4,30.2,36.8,100.0
2016-08-09,0,76.8440366972477,24.2,55.0,38.5,32.4,35.5,100.0
2016-08-10,0,66.53211009174312,24.5,52.0,39.2,32.4,35.7,82.0
2016-08-11,0,67.36697247706422,23.5,45.0,37.5,28.6,34.2,89.0
2016-08-12,0,78.57798165137615,21.7,58.0,35.6,28.4,34.0,97.0
2016-08-13,0,80.35779816513761,23.9,50.0,35.6,29.9,36.2,100.0
2016-08-14,0,80.35779816513761,24.2,62.0,37.1,29.7,35.3,93.0
2016-08-15,0,85.56880733944953,24.4,73.0,32.1,27.3,30.4,98.0
2016-08-16,0,83.06422018348623,23.8,62.0,37.4,30.0,36.9,98.0
2016-08-17,0,83.04587155963304,24.5,61.0,36.5,29.0,33.6,100.0
2016-08-18,0,78.65137614678899,25.7,58.0,35.5,29.0,33.9,98.0
2016-08-19,0,84.89908256880734,26.6,65.0,37.6,31.0,35.8,99.0
2016-08-20,0,83.71559633027523,25.5,66.0,39.1,29.7,34.1,98.0
2016-08-21,0,82.1743119266055,24.8,59.0,37.0,29.4,34.5,100.0
2016-08-22,0,72.76146788990826,24.3,34.0,40.2,39.1,41.7,91.0
2016-08-23,0,85.0091743119266,25.5,66.0,36.3,29.3,32.6,98.0
2016-08-24,0,79.02752293577981,25.0,50.0,37.6,36.5,38.1,99.0
2016-08-25,0,82.19266055045871,25.0,68.0,35.6,28.8,32.9,97.0
2016-08-26,0,80.31192660550458,25.1,58.0,37.1,28.7,33.1,98.0
2016-08-27,0,78.44036697247707,23.7,58.0,37.3,28.9,33.5,99.0
2016-08-28,0,82.55963302752293,24.3,57.0,40.1,29.6,36.4,98.0
2016-08-29,0,78.73394495412846,24.8,53.0,39.1,29.6,37.8,93.0
2016-08-30,0,74.80733944954129,25.4,58.0,37.8,28.5,33.7,89.0
2016-08-31,0,73.05504587155963,22.7,48.0,37.4,27.8,32.9,90.0
2016-09-01,0,70.1651376146789,20.0,45.0,40.3,31.9,33.8,89.0
2016-09-02,0,79.46788990825688,22.8,57.0,41.5,28.7,34.2,97.0
2016-09-03,0,77.44036697247707,21.9,57.0,39.4,28.9,34.8,95.0
2016-09-04,0,79.08256880733946,24.5,58.0,41.4,29.1,36.4,98.0
2016-09-05,0,80.77981651376147,25.0,63.0,39.5,29.1,34.3,96.0
2016-09-06,0,90.54128440366972,23.4,77.0,34.3,27.6,30.5,100.0
2016-09-07,0,90.75229357798165,24.9,67.0,40.3,28.2,34.6,100.0
2016-09-08,0,87.59633027522936,24.5,71.0,36.3,28.1,31.7,100.0
2016-09-09,0,94.77981651376149,24.9,78.0,33.9,27.4,30.4,100.0
2016-09-10,0,76.53211009174312,22.1,58.0,40.2,27.8,33.2,90.0
2016-09-11,0,79.0091743119266,20.3,60.0,40.7,27.2,32.6,97.0
2016-09-12,0,85.88073394495413,22.4,65.0,38.6,27.1,31.9,100.0
2016-09-13,0,87.78899082568806,24.0,74.0,40.0,26.9,30.2,100.0
2016-09-14,0,93.3211009174312,23.4,85.0,33.5,26.7,29.2,100.0
2016-09-15,0,89.57798165137615,24.3,70.0,36.1,26.9,30.9,100.0
2016-09-17,0,89.36697247706422,23.6,73.0,33.4,26.1,29.1,100.0
2016-09-18,0,86.73394495412846,23.0,67.0,35.0,27.2,31.5,100.0
2016-09-19,0,96.66055045871559,24.2,86.0,27.4,25.8,26.7,100.0
2016-09-20,0,86.1559633027523,23.0,64.0,37.5,28.1,33.5,100.0
2016-09-21,1,90.46788990825688,22.6,79.0,28.2,25.4,26.4,100.0
2016-09-22,1,85.55045871559633,21.4,61.0,32.2,25.2,28.5,100.0
2016-09-23,1,95.57798165137615,20.4,79.0,29.9,27.8,28.6,100.0
2016-09-24,1,96.93577981651377,22.6,80.0,30.2,24.5,27.0,100.0
2016-09-25,1,98.3302752293578,20.9,89.0,27.1,23.6,24.4,100.0
2016-09-26,1,83.63302752293578,19.4,62.0,36.6,25.5,29.5,100.0
2016-09-27,1,85.1559633027523,21.6,62.0,36.1,26.9,32.1,100.0
2016-09-28,1,83.24770642201835,22.1,48.0,39.2,34.2,35.4,100.0
2016-09-29,1,94.55963302752292,24.3,81.0,32.9,26.3,29.3,100.0
2016-09-30,1,87.56880733944953,23.7,58.0,36.8,27.4,33.6,100.0
2016-10-01,1,77.22018348623853,19.3,69.0,30.5,24.4,26.7,86.0
2016-10-02,1,85.21100917431194,21.7,71.0,31.5,25.5,29.4,98.0
2016-10-03,1,82.62385321100919,22.9,56.0,34.5,33.5,34.6,99.0
2016-10-04,1,91.66055045871559,22.2,76.0,28.8,27.5,27.7,100.0
2016-10-05,1,83.8256880733945,21.3,60.0,38.0,27.2,32.1,100.0
2016-10-06,1,86.88990825688074,19.9,65.0,31.4,25.0,29.2,100.0
2016-10-07,1,72.71559633027523,21.0,39.0,41.6,35.0,34.2,100.0
2016-10-08,1,72.53211009174312,18.3,50.0,38.0,25.4,29.3,94.0
2016-10-09,1,82.90825688073394,20.9,65.0,35.2,25.1,30.4,96.0
2016-10-10,1,84.89908256880734,19.4,61.0,29.6,24.3,26.5,100.0
2016-10-11,1,76.43119266055047,16.0,53.0,31.0,22.4,25.7,100.0
2016-10-12,1,78.12844036697248,16.0,42.0,32.7,32.6,32.4,100.0
2016-10-13,1,71.11009174311927,15.0,26.0,34.4,35.0,34.1,100.0
2016-10-14,1,83.40366972477064,13.6,53.0,28.9,23.6,24.0,100.0
2016-10-15,1,82.70642201834863,14.9,58.0,28.5,21.0,24.8,100.0
2016-10-16,1,75.26605504587154,13.1,33.0,32.2,31.9,31.8,100.0
2016-10-17,1,72.89908256880734,13.8,43.0,36.6,22.7,29.4,98.0
2016-10-18,1,92.8348623853211,18.0,77.0,24.1,20.8,22.2,100.0
2016-10-19,1,84.69724770642202,16.7,54.0,37.1,24.0,29.9,100.0
2016-10-20,1,88.22018348623855,17.6,61.0,31.8,23.9,29.1,100.0
2016-10-21,1,83.91743119266054,18.0,49.0,33.8,24.2,29.5,100.0
2016-10-22,1,78.11926605504587,15.2,54.0,27.7,21.6,25.1,95.0
2016-10-23,1,88.62385321100918,15.8,59.0,27.1,21.1,24.6,100.0
