T20_mean_x,H_mean_x,T60_min_x,H_min_x,T20_max_x,T60_max_x,H_max_x,T20_mean_y,H_mean_y,T60_min_y,H_min_y,T20_max_y,T60_max_y,H_max_y,T20_mean_z,H_mean_z,T20_min_z,T60_min_z,H_min_z,T20_max_z,ST_max_z,T60_max_z,H_max_z
15.334722222222226,94.08333333333331,9.2,72.0,25.9,23.9,99.0,12.43125,87.45833333333331,6.6,50.0,22.0,20.6,99.0,13.025000000000002,85.1736111111111,7.7,8.1,52.0,26.3,16.9,22.8,99.0
15.674305555555556,99.0,13.4,99.0,22.0,20.2,99.0,15.334722222222226,94.08333333333331,9.2,72.0,25.9,23.9,99.0,12.43125,87.45833333333331,6.4,6.6,50.0,22.0,15.8,20.6,99.0
17.29583333333333,94.5,13.1,74.0,24.9,23.7,99.0,15.674305555555556,99.0,13.4,99.0,22.0,20.2,99.0,15.334722222222226,94.08333333333331,9.0,9.2,72.0,25.9,17.0,23.9,99.0
16.39027777777777,98.50694444444444,13.2,93.0,21.5,20.2,99.0,17.29583333333333,94.5,13.1,74.0,24.9,23.7,99.0,15.674305555555556,99.0,13.4,13.4,99.0,22.0,16.7,20.2,99.0
16.564583333333335,92.02777777777777,12.2,63.0,23.5,22.4,99.0,16.39027777777777,98.50694444444444,13.2,93.0,21.5,20.2,99.0,17.29583333333333,94.5,13.0,13.1,74.0,24.9,18.0,23.7,99.0
13.303472222222226,89.50694444444444,10.4,56.0,19.0,17.6,99.0,16.564583333333335,92.02777777777777,12.2,63.0,23.5,22.4,99.0,16.39027777777777,98.50694444444444,13.1,13.2,93.0,21.5,17.4,20.2,99.0
11.724305555555553,98.20833333333331,7.5,75.0,22.7,20.7,99.0,13.303472222222226,89.50694444444444,10.4,56.0,19.0,17.6,99.0,16.564583333333335,92.02777777777777,12.3,12.2,63.0,23.5,18.1,22.4,99.0
11.676388888888884,92.59722222222223,6.0,62.0,22.1,20.5,99.0,11.724305555555553,98.20833333333331,7.5,75.0,22.7,20.7,99.0,13.303472222222226,89.50694444444444,10.3,10.4,56.0,19.0,16.2,17.6,99.0
14.766666666666666,93.65972222222223,10.5,75.0,24.6,22.8,99.0,11.676388888888884,92.59722222222223,6.0,62.0,22.1,20.5,99.0,11.724305555555553,98.20833333333331,7.6,7.5,75.0,22.7,15.8,20.7,99.0
15.963888888888883,98.65277777777777,13.5,94.0,24.4,22.4,99.0,14.766666666666666,93.65972222222223,10.5,75.0,24.6,22.8,99.0,11.676388888888884,92.59722222222223,6.0,6.0,62.0,22.1,15.0,20.5,99.0
